@RELATION marco_15_09_20_22_06
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
3.0,37.1,0.049,0.054,0.055,0.055,0.056,-1.007,0.296,161.712,-0.056,159.132,-0.039,155.629,-0.093,150.831,-0.08,18.2,0.048,4.164,1.68,35.1,-1.058,0.455,0.068,5.0,42.5,0.031,0.033,0.034,0.034,0.034,-4.623,0.134,0.027,2.474,1.77,3.39E-4,1.34E-4,0.036262456,0.022016492,63.245403,0.152,0.0
3.0,38.4,0.04,0.043,0.045,0.046,0.046,-1.699,0.327,156.553,-0.119,157.781,-0.012,152.945,-0.081,140.35,-0.12,15.8,0.054,4.777,1.71,31.6,-1.442,0.816,0.178,11.602,43.4,0.026,0.028,0.029,0.029,0.029,-4.53,0.284,0.026,2.381,1.7,2.43E-4,9.8E-5,0.029787017,0.018778771,58.85059,0.201,0.0
3.0,38.8,0.037,0.042,0.043,0.043,0.043,-1.385,0.304,134.61,-0.036,128.546,-0.1,138.132,-0.082,146.69,-0.093,16.7,0.04,3.593,1.68,33.1,-1.711,0.701,0.166,11.252,44.0,0.025,0.027,0.028,0.028,0.028,-4.74,0.127,0.027,2.562,1.69,2.0E-4,9.0E-5,0.042249106,0.027511045,141.61153,0.155,0.0
3.0,39.0,0.037,0.04,0.043,0.043,0.043,-1.969,0.293,160.513,-0.01,163.94,-0.077,159.761,-0.041,148.128,-0.062,19.4,0.047,4.268,1.74,35.5,-1.881,0.623,0.078,5.847,42.8,0.028,0.031,0.032,0.032,0.032,-5.675,0.314,0.037,3.424,1.65,2.03E-4,1.07E-4,0.042249106,0.031441197,142.99974,0.197,0.0
3.0,39.6,0.038,0.043,0.045,0.045,0.045,-1.803,0.305,151.526,-0.065,150.108,-0.06,154.934,-0.077,156.648,-0.104,21.2,0.045,4.124,1.77,37.1,-1.73,0.368,0.071,5.494,42.1,0.03,0.032,0.033,0.033,0.033,-6.084,0.234,0.035,3.127,1.69,2.25E-4,1.27E-4,0.04421418,0.03242373,151.22478,0.189,0.0
3.0,39.8,0.04,0.042,0.044,0.044,0.044,-2.142,0.241,165.12,-0.095,168.747,-0.064,168.033,-0.09,161.008,-0.085,22.5,0.046,4.176,1.7,38.0,-1.928,0.389,0.069,5.471,42.3,0.03,0.032,0.034,0.034,0.034,-6.107,0.198,0.033,3.005,1.69,2.02E-4,1.21E-4,0.04323164,0.03340627,155.43382,0.168,0.0
3.0,40.2,0.038,0.042,0.044,0.044,0.044,-1.903,0.29,151.136,-0.055,140.541,-0.031,133.582,0.026,135.181,-0.037,20.8,0.058,5.418,1.87,34.7,-2.513,0.635,0.098,7.046,43.3,0.027,0.029,0.031,0.031,0.031,-6.154,0.318,0.04,3.677,1.77,2.27E-4,1.14E-4,0.038856003,0.027375821,105.42086,0.246,0.0
3.0,41.8,0.03,0.033,0.036,0.036,0.036,-2.153,0.349,155.82,-0.085,159.389,-0.083,161.036,-0.11,161.274,-0.072,24.3,0.033,3.154,1.8,37.6,-2.471,0.358,0.079,6.24,43.4,0.028,0.03,0.031,0.032,0.032,-6.595,0.286,0.035,3.217,1.66,1.41E-4,9.7E-5,0.031791274,0.028258912,125.769485,0.149,0.0
3.0,41.6,0.031,0.034,0.036,0.036,0.036,-2.255,0.25,148.356,-0.028,148.585,0.031,145.31,0.002,149.546,-0.016,23.2,0.032,3.016,1.8,35.8,-1.951,0.504,0.087,6.621,43.0,0.027,0.031,0.032,0.032,0.032,-6.917,0.135,0.031,2.894,1.75,1.46E-4,1.15E-4,0.031791274,0.028258912,116.623405,0.13,0.0
3.0,41.9,0.03,0.034,0.035,0.035,0.035,-2.305,0.196,155.467,-0.028,161.579,-0.05,159.932,-0.056,160.141,-0.011,26.2,0.024,2.29,1.75,39.0,-2.34,0.238,0.05,4.08,45.3,0.022,0.024,0.025,0.026,0.026,-6.236,0.122,0.03,2.867,1.76,1.24E-4,7.0E-5,0.030908184,0.022960367,124.88592,0.086,0.0
3.0,43.2,0.029,0.034,0.035,0.036,0.036,-2.146,0.256,156.572,-0.042,156.638,-0.041,153.763,-0.045,151.231,-0.068,27.3,0.023,2.235,1.81,39.3,-2.705,0.252,0.042,3.52,45.7,0.021,0.024,0.025,0.025,0.025,-6.357,0.1,0.018,1.77,1.73,1.47E-4,6.3E-5,0.021255225,0.014760574,52.719017,0.086,0.0
3.0,43.1,0.032,0.035,0.036,0.036,0.036,-2.379,0.193,146.271,-0.069,147.176,-0.047,151.593,-0.091,150.193,-0.084,27.1,0.044,4.233,1.65,39.4,-2.704,0.176,0.048,4.012,45.3,0.021,0.023,0.024,0.024,0.024,-6.906,0.247,0.023,2.258,1.74,1.47E-4,6.7E-5,0.021255225,0.014170151,52.357166,0.16,0.0
3.0,42.1,0.034,0.036,0.037,0.038,0.038,-2.452,0.2,150.593,-0.071,155.981,-0.072,153.145,-0.1,155.677,-0.095,27.4,0.038,3.706,1.75,40.3,-2.856,0.183,0.039,3.311,45.5,0.023,0.025,0.026,0.026,0.026,-6.996,0.181,0.021,1.989,1.76,1.6E-4,7.4E-5,0.022436071,0.015350997,54.26889,0.154,0.0
3.0,42.7,0.027,0.03,0.033,0.033,0.033,-2.473,0.265,154.696,-0.101,152.174,-0.084,146.852,-0.107,152.802,-0.108,28.3,0.027,2.609,1.78,40.3,-2.543,0.301,0.038,3.216,45.6,0.021,0.023,0.024,0.024,0.025,-7.327,0.14,0.023,2.237,1.75,1.12E-4,6.7E-5,0.019483957,0.014760574,53.266666,0.115,0.0
3.0,44.3,0.026,0.03,0.032,0.033,0.033,-2.508,0.122,153.44,-0.067,153.268,-0.089,150.07,-0.081,149.175,-0.081,29.2,0.029,2.92,1.89,40.1,-3.101,0.27,0.04,3.37,46.7,0.02,0.023,0.025,0.025,0.025,-7.162,0.053,0.015,1.466,1.81,1.07E-4,6.3E-5,0.0316893,0.024007047,137.56041,0.147,0.0
3.0,43.2,0.027,0.031,0.033,0.033,0.034,-2.589,0.211,143.891,-0.079,144.434,-0.078,144.272,-0.101,145.081,-0.096,27.1,0.022,2.227,1.82,38.9,-3.844,0.362,0.046,3.798,47.1,0.02,0.023,0.025,0.025,0.025,-7.285,0.166,0.013,1.292,1.82,1.14E-4,6.1E-5,0.032649584,0.024007047,133.78516,0.081,0.0
3.0,43.3,0.034,0.037,0.038,0.038,0.038,-2.91,0.277,149.613,-0.104,153.059,-0.103,156.514,-0.11,150.203,-0.062,27.5,0.03,3.001,1.7,38.9,-3.597,0.267,0.046,3.729,46.9,0.02,0.023,0.024,0.025,0.025,-7.305,0.207,0.016,1.582,1.86,1.59E-4,6.9E-5,0.03649071,0.024007047,138.50838,0.113,0.0
3.0,41.7,0.04,0.043,0.046,0.047,0.047,-3.175,0.316,148.708,-0.107,146.919,-0.121,156.438,-0.125,158.19,-0.113,27.2,0.054,5.173,1.74,40.0,-3.583,0.259,0.039,3.303,46.4,0.02,0.022,0.023,0.023,0.023,-8.008,0.207,0.02,1.932,1.75,2.73E-4,5.9E-5,0.045133244,0.022086482,145.87352,0.229,0.0
3.0,42.9,0.029,0.033,0.035,0.036,0.036,-3.06,0.176,152.031,-0.056,147.699,-0.076,145.462,-0.093,148.052,-0.085,27.3,0.023,2.214,1.76,39.2,-4.112,0.266,0.047,3.855,46.5,0.02,0.022,0.024,0.024,0.024,-8.096,0.382,0.023,2.301,1.73,1.29E-4,5.5E-5,0.033280645,0.022187099,126.5298,0.074,0.0
3.0,43.4,0.026,0.03,0.031,0.031,0.031,-3.172,0.144,150.584,-0.093,153.278,-0.096,150.089,-0.092,144.824,-0.07,27.9,0.022,2.149,1.79,39.3,-4.13,0.262,0.052,4.272,45.8,0.021,0.024,0.025,0.025,0.025,-8.743,0.107,0.016,1.538,1.78,9.6E-5,7.4E-5,0.028658334,0.023111561,123.77105,0.093,0.0
3.0,43.2,0.029,0.032,0.032,0.033,0.033,-3.314,0.122,145.691,-0.103,146.29,-0.073,147.052,-0.109,147.785,-0.051,27.2,0.039,3.841,1.8,38.7,-4.45,0.4,0.041,3.368,46.2,0.021,0.023,0.024,0.025,0.025,-8.633,0.181,0.024,2.323,1.76,1.14E-4,6.6E-5,0.03050726,0.023111561,126.30161,0.204,0.0
3.0,41.6,0.031,0.035,0.038,0.038,0.038,-3.804,0.417,148.547,-0.112,156.914,-0.124,162.778,-0.094,158.238,-0.099,25.6,0.034,3.254,1.82,38.9,-4.883,0.229,0.063,5.118,46.7,0.02,0.023,0.025,0.025,0.025,-8.524,0.214,0.019,1.841,1.75,1.46E-4,5.8E-5,0.03512957,0.023111561,135.23508,0.153,0.0
3.0,42.3,0.028,0.032,0.034,0.034,0.034,-3.999,0.264,145.576,-0.107,141.797,-0.093,143.73,-0.119,139.608,-0.101,25.2,0.037,3.588,1.78,37.1,-4.829,0.374,0.049,3.861,46.2,0.021,0.024,0.025,0.025,0.025,-8.668,0.337,0.018,1.772,1.73,1.18E-4,5.9E-5,0.019186411,0.014107655,44.456978,0.185,0.0
3.0,43.9,0.025,0.028,0.03,0.03,0.03,-3.638,0.147,138.38,-0.092,148.232,-0.115,151.945,-0.105,156.562,-0.121,28.0,0.024,2.425,1.81,39.5,-5.426,0.244,0.068,5.572,44.9,0.025,0.026,0.028,0.028,0.028,-9.36,0.504,0.042,4.021,1.82,9.3E-5,1.0E-4,0.016929185,0.015800575,49.855835,0.103,0.0
3.0,43.1,0.03,0.033,0.034,0.034,0.034,-4.078,0.191,156.772,-0.122,158.837,-0.116,154.477,-0.119,151.631,-0.107,28.8,0.03,2.897,1.78,41.0,-5.228,0.183,0.036,3.126,44.1,0.028,0.03,0.032,0.032,0.032,-10.173,0.107,0.029,2.691,1.81,1.19E-4,1.2E-4,0.019186411,0.018057799,48.2856,0.137,0.0
3.0,41.8,0.03,0.033,0.034,0.035,0.035,-4.259,0.215,148.194,-0.082,151.25,-0.114,149.489,-0.139,149.289,-0.15,28.3,0.039,3.748,1.74,41.3,-5.171,0.197,0.032,2.798,44.9,0.025,0.027,0.028,0.028,0.028,-10.213,0.222,0.018,1.673,1.73,1.31E-4,8.5E-5,0.03251521,0.02601217,128.8442,0.162,0.0
3.0,44.1,0.024,0.028,0.029,0.029,0.029,-4.189,0.176,149.27,-0.143,149.251,-0.115,151.45,-0.097,153.116,-0.106,30.2,0.022,2.221,1.85,41.6,-5.671,0.282,0.03,2.597,45.0,0.021,0.023,0.024,0.024,0.024,-10.218,0.1,0.022,2.098,1.65,9.7E-5,5.8E-5,0.026941173,0.022296144,132.1471,0.088,0.0
3.0,44.1,0.024,0.027,0.029,0.029,0.029,-4.264,0.147,147.747,-0.108,143.796,-0.117,143.711,-0.118,141.34,-0.115,30.0,0.029,2.9,1.7,41.0,-5.96,0.279,0.03,2.605,45.9,0.021,0.024,0.024,0.024,0.024,-10.266,0.061,0.019,1.876,1.73,7.9E-5,6.2E-5,0.026941173,0.022296144,121.98379,0.137,0.0
3.0,43.7,0.031,0.033,0.034,0.034,0.034,-4.58,0.183,141.312,-0.112,141.083,-0.116,144.348,-0.123,145.795,-0.116,29.2,0.028,2.807,1.81,40.3,-6.32,0.229,0.033,2.782,46.6,0.02,0.022,0.022,0.022,0.022,-10.184,0.116,0.017,1.676,1.72,1.43E-4,5.8E-5,0.031586204,0.020438131,125.82868,0.114,0.0
3.0,43.3,0.03,0.033,0.035,0.035,0.035,-4.89,0.17,151.726,-0.112,153.145,-0.138,156.61,-0.138,151.602,-0.127,29.7,0.029,2.878,1.72,41.3,-6.327,0.293,0.042,3.626,46.3,0.021,0.023,0.025,0.025,0.025,-10.794,0.412,0.029,2.814,1.77,1.32E-4,6.7E-5,0.033490263,0.023921618,138.80528,0.118,0.0
3.0,43.5,0.031,0.035,0.036,0.036,0.036,-4.896,0.166,146.043,-0.098,140.921,-0.093,144.148,-0.12,145.034,-0.119,29.4,0.024,2.407,1.82,40.6,-6.562,0.306,0.033,2.816,46.2,0.022,0.025,0.025,0.026,0.026,-11.088,0.062,0.028,2.775,1.78,1.44E-4,7.1E-5,0.034447126,0.024878481,132.79169,0.09,0.0
3.0,43.1,0.036,0.039,0.041,0.041,0.041,-5.183,0.226,144.415,-0.1,141.607,-0.101,146.624,-0.094,145.824,-0.135,28.2,0.028,2.792,1.76,40.1,-7.389,0.258,0.042,3.558,47.3,0.02,0.022,0.024,0.024,0.024,-11.232,0.066,0.021,2.08,1.82,1.89E-4,6.0E-5,0.039231453,0.022964753,133.515,0.109,0.0
3.0,42.2,0.04,0.043,0.046,0.046,0.046,-5.637,0.223,147.966,-0.099,150.774,-0.163,145.957,-0.135,140.16,-0.13,26.7,0.036,3.454,1.68,40.1,-7.713,0.186,0.038,3.158,48.2,0.02,0.021,0.023,0.023,0.023,-11.284,0.198,0.015,1.51,1.86,2.47E-4,5.5E-5,0.044015776,0.022007888,128.3291,0.128,0.0
3.0,43.1,0.034,0.037,0.039,0.039,0.039,-5.592,0.217,143.787,-0.149,137.428,-0.075,139.979,-0.087,139.141,-0.137,26.6,0.039,3.823,1.71,38.8,-8.059,0.428,0.048,3.942,47.8,0.019,0.02,0.022,0.022,0.022,-11.619,0.127,0.012,1.186,1.8,1.61E-4,4.9E-5,0.022812981,0.012868861,47.6091,0.155,0.0
3.0,43.2,0.03,0.034,0.037,0.038,0.038,-5.684,0.158,143.311,-0.126,140.988,-0.121,139.36,-0.089,134.267,-0.086,26.4,0.037,3.658,1.7,38.5,-8.238,0.282,0.049,3.957,47.5,0.02,0.023,0.025,0.025,0.025,-12.064,0.256,0.016,1.575,1.84,1.16E-4,6.1E-5,0.02222803,0.014623705,45.941387,0.152,0.0
3.0,44.0,0.031,0.034,0.035,0.035,0.035,-5.621,0.195,132.268,-0.08,130.04,-0.101,134.838,-0.138,137.504,-0.123,28.0,0.034,3.457,1.72,39.2,-8.053,0.265,0.065,5.355,47.6,0.019,0.021,0.021,0.022,0.022,-12.041,0.217,0.019,1.891,1.73,1.36E-4,4.6E-5,0.020473188,0.012868861,47.048973,0.162,0.0
3.0,45.2,0.03,0.034,0.036,0.036,0.036,-5.727,0.214,139.351,-0.075,145.795,-0.099,148.118,-0.094,151.64,-0.108,31.3,0.022,2.283,1.97,41.3,-8.359,0.223,0.037,3.178,46.7,0.022,0.024,0.025,0.025,0.025,-13.015,0.404,0.027,2.708,1.76,1.57E-4,6.5E-5,0.03199499,0.022218745,119.776825,0.075,0.0
3.0,44.0,0.035,0.038,0.04,0.04,0.04,-5.87,0.191,150.508,-0.103,148.166,-0.081,141.664,-0.068,142.159,-0.078,30.4,0.03,3.056,1.94,41.2,-8.552,0.301,0.034,2.903,47.1,0.022,0.025,0.027,0.027,0.027,-12.937,0.1,0.018,1.83,1.82,1.96E-4,6.6E-5,0.03554999,0.023996245,112.288,0.128,0.0
3.0,44.9,0.027,0.029,0.031,0.031,0.031,-5.992,0.104,140.683,-0.088,142.216,-0.123,142.92,-0.094,142.073,-0.057,31.1,0.024,2.404,1.68,41.0,-8.636,0.282,0.035,3.002,47.5,0.019,0.022,0.023,0.023,0.024,-13.01,0.07,0.012,1.188,1.76,9.5E-5,5.2E-5,0.027551243,0.021329995,112.22008,0.093,0.0
3.0,45.0,0.028,0.032,0.034,0.034,0.035,-6.132,0.151,143.482,-0.115,144.044,-0.144,144.444,-0.125,145.948,-0.139,31.4,0.027,2.731,1.74,41.9,-8.783,0.19,0.036,3.172,47.1,0.025,0.027,0.028,0.029,0.029,-13.548,0.141,0.017,1.714,1.85,1.07E-4,7.4E-5,0.03430869,0.0284272,140.2395,0.134,0.0
3.0,44.4,0.028,0.03,0.033,0.033,0.033,-6.228,0.168,147.023,-0.125,145.643,-0.101,144.158,-0.121,145.043,-0.129,31.4,0.023,2.347,1.65,42.2,-9.025,0.219,0.037,3.295,46.8,0.02,0.022,0.024,0.024,0.024,-13.811,0.278,0.023,2.245,1.72,1.04E-4,5.6E-5,0.032348193,0.023525959,139.36989,0.096,0.0
