@RELATION agosto_15_09_20_16_26
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
8.0,35.5,0.06,0.065,0.068,0.068,0.069,-5.794,0.527,22.031,0.044,31.95,-0.052,25.743,-0.051,28.352,-0.006,10.2,0.084,6.94,1.63,30.4,-4.274,0.989,0.186,11.581,33.3,0.083,0.085,0.086,0.087,0.09,-4.354,1.27,0.164,11.463,1.52,5.01E-4,8.25E-4,0.057473272,0.07496514,19.67059,0.326,0.0
8.0,36.3,0.053,0.057,0.061,0.061,0.062,-5.637,0.512,19.137,0.05,29.694,-0.116,27.704,0.01,28.399,0.0,15.1,0.088,7.394,1.52,34.0,-4.105,0.818,0.141,9.996,33.0,0.094,0.096,0.097,0.098,0.101,-4.566,0.905,0.181,12.769,1.59,3.4E-4,0.001096,0.05164265,0.084127545,19.703197,0.302,0.0
8.0,37.4,0.056,0.06,0.062,0.063,0.063,-5.493,0.536,32.293,-0.044,31.227,-0.048,26.962,-0.05,27.438,-0.028,16.9,0.08,6.942,1.49,34.0,-4.662,0.583,0.128,9.121,39.1,0.042,0.044,0.045,0.045,0.045,-2.759,0.103,0.061,5.139,1.61,3.69E-4,2.13E-4,0.052475598,0.03748257,19.036457,0.275,0.0
8.0,34.6,0.089,0.095,0.097,0.099,0.099,-6.376,0.285,24.144,-0.051,15.072,-0.15,16.538,-0.015,22.259,-0.106,11.7,0.128,10.196,1.43,31.1,-5.605,0.706,0.183,11.629,41.4,0.034,0.036,0.037,0.037,0.037,-3.34,0.398,0.028,2.449,1.64,8.74E-4,1.43E-4,0.082461655,0.030819003,15.443273,0.352,0.0
8.0,34.9,0.068,0.071,0.073,0.073,0.073,-6.627,0.351,17.347,-0.025,21.697,-0.157,9.274,-0.073,14.796,0.003,13.4,0.078,6.338,1.5,33.8,-5.199,0.561,0.104,7.446,40.4,0.036,0.038,0.039,0.04,0.04,-4.16,0.269,0.042,3.7,1.73,5.45E-4,1.98E-4,0.0472707,0.025901753,6.204156,0.216,0.0
8.0,36.3,0.053,0.057,0.059,0.059,0.059,-6.168,0.363,11.911,-0.048,12.006,-0.019,10.731,-0.048,12.54,-0.03,16.5,0.065,5.536,1.58,34.5,-4.835,0.39,0.094,6.899,40.1,0.038,0.04,0.041,0.041,0.041,-4.531,0.25,0.036,3.132,1.63,3.62E-4,1.85E-4,0.038205087,0.026549298,5.258186,0.213,0.0
8.0,38.3,0.044,0.047,0.051,0.051,0.052,-6.183,0.373,23.344,-0.157,25.286,-0.1,22.821,-0.029,23.03,0.006,19.0,0.053,4.715,1.66,35.7,-5.139,0.439,0.064,4.875,41.5,0.032,0.034,0.036,0.036,0.036,-3.889,0.15,0.038,3.368,1.69,2.79E-4,1.48E-4,0.03367228,0.023311578,9.65678,0.21,0.0
8.0,38.8,0.044,0.049,0.051,0.051,0.051,-6.06,0.257,20.584,-0.042,25.429,-0.033,32.854,-0.069,24.401,-0.036,20.4,0.044,4.003,1.74,36.5,-5.249,0.495,0.067,5.215,42.8,0.028,0.03,0.031,0.031,0.031,-3.172,0.335,0.038,3.45,1.74,3.27E-4,1.18E-4,0.033024736,0.020073859,10.231657,0.156,0.0
8.0,38.1,0.049,0.052,0.054,0.054,0.054,-7.007,0.521,26.581,-0.066,42.431,-0.025,42.174,-0.11,30.998,-0.061,19.7,0.07,6.149,1.65,36.7,-5.261,0.344,0.061,4.715,39.9,0.036,0.038,0.038,0.038,0.039,-4.649,0.324,0.052,4.533,1.55,3.43E-4,1.61E-4,0.03496737,0.02525421,12.997866,0.276,0.0
8.0,38.4,0.053,0.057,0.06,0.06,0.06,-6.39,0.361,32.483,-0.087,23.497,-0.065,27.628,-0.058,21.755,-0.054,18.8,0.052,4.652,1.82,34.9,-5.448,0.588,0.102,7.483,40.8,0.036,0.038,0.039,0.039,0.039,-4.268,0.2,0.037,3.205,1.66,4.39E-4,1.66E-4,0.05895224,0.038318954,21.001831,0.166,0.0
