@RELATION GT_1_cont_17_03_01_23_40
@ATTRIBUTE size NUMERIC
@ATTRIBUTE sigma NUMERIC
@ATTRIBUTE threshold NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
13.0,0.7,250.0,2.278,0.0
15.0,1.0,200.0,2.278,0.0
12.0,0.7,150.0,2.2795,0.0
12.0,0.5,100.0,2.289,0.0
15.0,0.7,250.0,2.289,0.0
15.0,0.6,100.0,2.31,0.0
13.0,0.9,100.0,2.323,0.0
13.0,0.7,200.0,2.33,0.0
15.0,0.8,100.0,2.33,0.0
15.0,1.0,150.0,2.354,0.0
13.0,1.0,100.0,2.369,0.0
13.0,0.9,150.0,2.391,0.0
15.0,1.0,100.0,2.394,0.0
12.0,0.6,100.0,2.4135,0.0
15.0,0.5,100.0,2.448,0.0
10.0,0.7,100.0,2.49,0.0
13.0,0.7,100.0,2.497,0.0
13.0,0.8,150.0,2.53,0.0
15.0,0.9,150.0,2.542,0.0
14.0,0.8,100.0,2.553,0.0
14.0,0.6,100.0,2.559,0.0
11.0,0.6,100.0,2.631,0.0
14.0,0.5,100.0,2.642,0.0
14.0,0.7,100.0,2.677,0.0
11.0,0.5,100.0,2.721,0.0
13.0,0.7,150.0,3.002,0.0
15.0,1.0,250.0,3.022,0.0
