@RELATION res81x58_18_04_16_12_00
@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE attr7 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
468604.0,8.250815,7.40328,127.435524,328.60022,685.34485,441.2716,0.0
468604.0,8.250815,7.40328,127.435524,328.60022,685.34485,441.2716,0.0
471946.0,7.842624,7.005362,129.83362,335.03094,650.7586,417.09875,0.0
474342.0,7.372335,6.686748,132.76227,341.44812,611.62067,397.8889,0.0
474763.0,7.307089,6.629707,133.2764,342.4775,606.069,394.33334,0.0
474763.0,7.307089,6.629707,133.2764,342.4775,606.069,394.33334,0.0
475499.0,7.229953,6.539474,133.96973,344.4162,598.931,388.50616,0.0
475995.0,7.098524,6.464503,135.29762,345.97275,587.5862,383.74075,0.0
476008.0,7.09412,6.462877,135.34781,346.01517,587.13794,383.61728,0.0
476008.0,7.09412,6.462877,135.34781,346.01517,587.13794,383.61728,0.0
476074.0,7.070008,6.437076,135.60733,347.4474,585.13794,382.08643,0.0
476095.0,7.061484,6.428552,135.70224,347.93515,584.4138,381.5679,0.0
476095.0,7.061484,6.428552,135.70224,347.93515,584.4138,381.5679,0.0
476095.0,7.061484,6.428552,135.70224,347.93515,584.4138,381.5679,0.0
481069.0,6.383801,5.705862,131.84811,338.22485,527.2069,338.01236,0.0
485229.0,6.094151,5.32416,129.58977,331.91943,503.06897,315.41974,0.0
485934.0,5.989104,5.174379,127.77119,330.23508,494.51724,306.67902,0.0
486972.0,5.831144,5.011229,126.19545,327.26227,480.31033,296.06174,0.0
488432.0,5.706959,4.881964,124.17747,324.81345,469.06897,287.69135,0.0
488742.0,5.65522,4.812792,123.11672,323.80057,464.65518,283.51852,0.0
488755.0,5.655598,4.808033,123.11409,323.5712,464.65518,283.19754,0.0
488755.0,5.655598,4.808033,123.11409,323.5712,464.65518,283.19754,0.0
488755.0,5.655598,4.808033,123.11409,323.5712,464.65518,283.19754,0.0
488755.0,5.655598,4.808033,123.11409,323.5712,464.65518,283.19754,0.0
488807.0,5.633883,4.786318,123.1111,322.50897,462.86206,281.91357,0.0
488807.0,5.633883,4.786318,123.1111,322.50897,462.86206,281.91357,0.0
488807.0,5.633883,4.786318,123.1111,322.50897,462.86206,281.91357,0.0
488807.0,5.633883,4.786318,123.1111,322.50897,462.86206,281.91357,0.0
488855.0,5.618152,4.767086,123.01459,322.5705,461.51724,280.7284,0.0
488856.0,5.617976,4.76691,123.01207,322.5721,461.48276,280.7037,0.0
489158.0,5.525813,4.715588,122.34855,319.16626,453.93103,277.66666,0.0
489236.0,5.497443,4.690433,122.14029,317.52142,451.55173,276.1605,0.0
490148.0,5.462744,4.626613,121.79059,319.2967,448.27585,272.1605,0.0
490468.0,5.409649,4.522693,121.097435,321.59286,443.9655,266.08643,0.0
490581.0,5.409115,4.50661,121.08365,322.00925,443.72415,265.0,0.0
490644.0,5.392775,4.483653,120.83793,322.59702,442.2414,263.51852,0.0
490644.0,5.392775,4.483653,120.83793,322.59702,442.2414,263.51852,0.0
490644.0,5.392775,4.483653,120.83793,322.59702,442.2414,263.51852,0.0
490644.0,5.392775,4.483653,120.83793,322.59702,442.2414,263.51852,0.0
