@RELATION outubro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
10.0,45.9,0.025,0.028,0.029,0.029,0.029,-16.749,0.124,101.624,-0.083,104.271,-0.036,102.015,0.019,101.758,0.004,34.5,0.021,2.172,1.74,43.1,-25.513,0.154,0.028,2.538,48.3,0.017,0.019,0.02,0.02,0.02,-33.239,0.05,0.012,1.285,1.63,6.9E-5,3.9E-5,0.02899885,0.019999208,101.74995,0.068,0.0
10.0,45.8,0.023,0.026,0.029,0.029,0.029,-16.979,0.156,102.767,-0.042,101.758,-0.072,100.71,-0.127,103.043,-0.184,34.3,0.022,2.303,1.71,43.0,-25.589,0.188,0.028,2.485,48.5,0.017,0.019,0.02,0.02,0.02,-33.257,0.053,0.014,1.497,1.64,6.5E-5,3.8E-5,0.022351664,0.015414941,61.2128,0.097,0.0
10.0,45.1,0.029,0.031,0.033,0.033,0.033,-17.071,0.186,99.806,-0.159,98.492,-0.119,100.92,-0.061,102.405,0.083,33.7,0.032,3.334,1.76,43.6,-26.005,0.174,0.023,2.094,48.5,0.019,0.02,0.022,0.023,0.023,-33.584,0.165,0.019,1.989,1.68,8.3E-5,4.1E-5,0.025434652,0.017727183,60.833794,0.188,0.0
10.0,46.0,0.028,0.031,0.034,0.034,0.034,-17.057,0.166,101.653,0.045,102.89,0.056,103.271,0.008,98.607,-0.065,34.3,0.024,2.485,1.8,43.7,-26.053,0.134,0.03,2.783,48.0,0.019,0.022,0.023,0.023,0.023,-33.615,0.151,0.016,1.645,1.64,8.4E-5,4.3E-5,0.026205402,0.017727183,58.57759,0.122,0.0
10.0,46.4,0.023,0.025,0.026,0.026,0.026,-16.96,0.172,97.236,-0.095,97.816,-0.122,100.044,-0.116,97.293,-0.062,34.6,0.022,2.325,1.63,43.4,-26.04,0.165,0.035,3.196,49.3,0.016,0.018,0.019,0.019,0.019,-33.213,0.144,0.015,1.576,1.65,5.9E-5,3.4E-5,0.018673815,0.013646249,50.188126,0.098,0.0
10.0,47.5,0.025,0.027,0.029,0.029,0.029,-16.877,0.162,99.197,-0.081,102.491,-0.058,96.227,-0.038,96.817,-0.016,36.1,0.023,2.497,1.76,43.1,-26.147,0.123,0.028,2.594,49.2,0.016,0.018,0.019,0.019,0.019,-33.565,0.106,0.012,1.269,1.69,6.8E-5,3.6E-5,0.020828485,0.013646249,49.942585,0.09,0.0
10.0,47.4,0.026,0.029,0.032,0.032,0.032,-16.928,0.137,96.645,-0.046,93.742,-0.06,94.418,-0.125,94.465,-0.174,36.2,0.024,2.569,1.79,42.9,-26.071,0.17,0.031,2.845,49.1,0.018,0.02,0.022,0.022,0.022,-33.673,0.089,0.012,1.303,1.76,1.02E-4,4.3E-5,0.022983158,0.01580092,48.729313,0.101,0.0
10.0,47.8,0.023,0.026,0.028,0.029,0.029,-17.281,0.189,95.141,-0.181,94.97,-0.116,93.485,-0.056,96.322,0.023,35.6,0.018,1.969,1.69,42.5,-26.6,0.291,0.025,2.288,49.7,0.017,0.019,0.02,0.02,0.02,-33.888,0.183,0.009,1.0,1.71,6.7E-5,3.5E-5,0.028892718,0.019926013,95.610664,0.073,0.0
10.0,47.1,0.024,0.027,0.029,0.029,0.029,-17.316,0.151,90.972,0.076,89.601,0.064,90.696,0.009,91.115,-0.104,34.7,0.017,1.777,1.72,41.8,-26.623,0.233,0.029,2.551,50.2,0.015,0.018,0.019,0.019,0.019,-33.757,0.089,0.012,1.307,1.75,7.6E-5,3.3E-5,0.028892718,0.018929712,90.442116,0.067,0.0
10.0,47.1,0.022,0.025,0.027,0.027,0.027,-17.452,0.108,96.112,-0.195,94.799,-0.175,92.457,-0.138,98.045,-0.063,35.1,0.025,2.622,1.57,42.7,-26.754,0.221,0.031,2.793,50.3,0.016,0.018,0.019,0.019,0.019,-34.146,0.258,0.015,1.639,1.73,6.0E-5,3.2E-5,0.026900118,0.018929712,97.32094,0.122,0.0
