@RELATION minijanuary_15_09_20_18_56
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
50.8,0.018,0.022,0.025,0.025,0.025,-22.622,0.09,64.983,0.008,65.564,0.017,66.03,0.01,66.068,0.015,42.6,0.01,1.171,1.98,46.6,-34.391,0.098,0.014,1.382,52.6,0.014,0.017,0.019,0.019,0.019,-42.042,0.076,0.008,0.876,1.87,4.6E-5,2.7E-5,0.01816264,0.013803606,34.871376,0.052,0.0
51.1,0.018,0.022,0.024,0.025,0.025,-22.6,0.089,66.735,0.009,64.041,0.029,63.451,0.024,64.736,0.024,42.7,0.008,0.977,2.0,46.3,-34.192,0.11,0.017,1.652,52.3,0.013,0.015,0.017,0.017,0.017,-42.167,0.058,0.008,0.867,1.8,4.7E-5,2.3E-5,0.024931276,0.016953269,64.38058,0.045,0.0
50.9,0.018,0.021,0.022,0.022,0.022,-22.563,0.075,63.993,0.023,65.83,0.008,67.62,0.019,67.163,0.019,42.5,0.01,1.151,1.95,46.5,-34.245,0.104,0.017,1.635,52.1,0.014,0.016,0.016,0.016,0.016,-42.175,0.046,0.007,0.759,1.82,4.3E-5,2.5E-5,0.021939524,0.015956018,66.79425,0.048,0.0
50.9,0.018,0.022,0.024,0.024,0.024,-22.562,0.086,67.201,0.028,64.269,0.017,65.65,0.016,66.563,0.009,42.7,0.009,1.011,2.05,46.6,-34.185,0.115,0.016,1.576,52.0,0.014,0.016,0.018,0.018,0.018,-42.225,0.042,0.007,0.738,1.84,5.2E-5,2.6E-5,0.023934025,0.017950518,66.19755,0.038,0.0
50.9,0.018,0.021,0.022,0.023,0.023,-22.565,0.092,67.972,0.015,65.688,0.02,68.667,0.023,66.83,0.012,42.6,0.011,1.308,1.99,46.6,-34.198,0.133,0.016,1.559,52.0,0.014,0.017,0.018,0.018,0.018,-42.192,0.053,0.007,0.727,1.79,4.5E-5,2.6E-5,0.01891985,0.014806838,45.22214,0.057,0.0
51.1,0.018,0.023,0.025,0.026,0.026,-22.544,0.086,68.191,0.021,66.849,0.026,66.63,0.025,66.154,0.014,42.5,0.012,1.357,2.07,46.6,-34.201,0.139,0.014,1.366,52.0,0.015,0.018,0.019,0.02,0.02,-42.093,0.039,0.006,0.689,1.89,5.4E-5,3.2E-5,0.021387655,0.016452042,44.76471,0.056,0.0
51.0,0.02,0.023,0.024,0.024,0.024,-22.486,0.055,66.744,0.022,69.743,0.014,69.876,0.014,69.419,0.016,42.9,0.011,1.269,2.0,47.0,-34.06,0.109,0.015,1.52,52.0,0.015,0.017,0.018,0.018,0.018,-42.021,0.038,0.007,0.742,1.84,4.9E-5,2.8E-5,0.019742452,0.014806838,46.97405,0.057,0.0
50.7,0.017,0.022,0.024,0.025,0.025,-22.432,0.088,67.953,0.021,67.972,0.023,68.258,0.02,67.201,0.026,42.7,0.01,1.189,1.97,46.7,-34.026,0.114,0.015,1.472,52.0,0.014,0.017,0.019,0.019,0.019,-41.883,0.049,0.007,0.724,1.87,4.6E-5,2.9E-5,0.016494721,0.012535988,29.254028,0.054,0.0
50.8,0.018,0.022,0.025,0.025,0.025,-22.446,0.122,67.401,0.02,65.383,0.023,68.486,0.036,68.41,0.04,42.5,0.011,1.285,1.96,46.7,-34.076,0.122,0.013,1.283,52.2,0.014,0.017,0.019,0.019,0.019,-41.732,0.071,0.007,0.772,1.82,4.3E-5,2.5E-5,0.016494721,0.012535988,29.780334,0.062,0.0
50.8,0.017,0.02,0.022,0.022,0.022,-22.336,0.102,67.239,0.027,66.44,0.033,68.391,0.036,67.782,0.023,42.9,0.011,1.205,1.95,46.8,-33.999,0.107,0.014,1.352,52.2,0.013,0.016,0.018,0.018,0.018,-41.636,0.049,0.006,0.714,1.8,4.3E-5,2.4E-5,0.014515355,0.011876199,29.50695,0.054,0.0
