@RELATION minijanuary_15_09_20_18_56
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
41.0,0.033,0.037,0.041,0.041,0.041,-2.218,0.244,134.305,-0.051,128.822,-0.077,120.273,-0.089,108.745,-0.198,24.0,0.056,5.273,1.78,37.9,-1.1,0.498,0.117,9.104,45.7,0.021,0.023,0.025,0.025,0.025,-5.396,0.181,0.026,2.485,1.73,1.56E-4,6.3E-5,0.04028403,0.024563434,104.9802,0.291,0.0
43.6,0.027,0.032,0.035,0.036,0.036,-1.748,0.238,108.869,-0.198,111.296,-0.193,111.544,-0.152,119.607,-0.161,25.7,0.028,2.822,1.86,36.8,-0.885,0.425,0.084,6.468,44.8,0.022,0.025,0.027,0.027,0.027,-5.766,0.334,0.04,3.782,1.7,1.09E-4,7.2E-5,0.03537134,0.026528507,115.466156,0.107,0.0
39.3,0.04,0.044,0.047,0.048,0.048,-2.621,0.235,127.727,-0.084,129.926,-0.058,129.698,-0.03,124.357,-0.108,25.0,0.073,6.686,1.83,39.6,-0.888,0.301,0.049,4.079,42.6,0.028,0.03,0.032,0.032,0.032,-6.994,0.338,0.042,3.82,1.65,2.46E-4,1.01E-4,0.04716179,0.031441197,120.051704,0.304,0.0
41.9,0.031,0.036,0.038,0.039,0.039,-2.388,0.232,120.949,-0.076,121.416,-0.129,119.54,-0.15,105.994,-0.189,25.1,0.055,5.269,1.87,37.6,-1.976,0.664,0.106,8.151,46.0,0.022,0.025,0.027,0.028,0.028,-6.311,0.392,0.044,4.31,1.79,1.54E-4,7.4E-5,0.02525421,0.018131228,44.444668,0.22,0.0
39.8,0.038,0.044,0.046,0.046,0.047,-2.306,0.223,98.683,-0.276,96.065,-0.242,103.309,-0.175,109.668,-0.153,21.6,0.07,6.445,1.8,36.1,-2.595,0.503,0.108,8.118,46.4,0.021,0.023,0.024,0.024,0.024,-6.188,0.308,0.045,4.384,1.73,2.23E-4,6.0E-5,0.03043456,0.015541052,45.985226,0.376,0.0
37.4,0.048,0.056,0.058,0.059,0.06,-2.549,0.415,114.171,-0.129,115.875,-0.076,130.992,-0.047,123.177,-0.139,23.5,0.095,8.239,1.75,40.3,-1.799,0.267,0.06,4.977,41.9,0.031,0.033,0.034,0.034,0.034,-7.979,0.756,0.065,5.809,1.59,3.44E-4,1.25E-4,0.04997676,0.028320165,85.46008,0.426,0.0
41.3,0.033,0.037,0.039,0.039,0.039,-2.854,0.229,123.567,-0.134,122.015,-0.139,116.703,-0.173,114.799,-0.21,25.7,0.03,2.813,1.82,38.4,-2.338,0.558,0.109,8.586,45.0,0.023,0.025,0.026,0.026,0.026,-7.306,0.485,0.075,7.116,1.63,1.69E-4,6.3E-5,0.032484893,0.021656595,79.64744,0.119,0.0
37.8,0.046,0.054,0.057,0.057,0.057,-3.556,0.274,106.041,-0.212,93.542,-0.34,95.579,-0.188,93.675,-0.15,18.3,0.085,7.55,1.78,32.9,-3.141,0.598,0.21,14.035,48.2,0.017,0.02,0.021,0.021,0.021,-6.828,0.131,0.018,1.787,1.81,3.38E-4,4.7E-5,0.04747792,0.017491866,64.99162,0.381,0.0
40.2,0.035,0.041,0.046,0.046,0.046,-3.227,0.138,101.929,-0.166,106.251,-0.167,112.286,-0.183,118.15,-0.165,24.7,0.078,7.174,1.73,39.4,-3.087,0.449,0.084,6.875,44.3,0.024,0.026,0.029,0.03,0.03,-7.836,0.456,0.085,7.917,1.72,1.77E-4,8.7E-5,0.045805544,0.02987318,117.15319,0.338,0.0
40.6,0.036,0.04,0.042,0.042,0.043,-3.859,0.505,126.147,-0.157,120.711,-0.186,122.291,-0.186,121.882,-0.126,25.8,0.076,6.912,1.7,38.9,-3.593,0.353,0.093,7.479,41.6,0.031,0.034,0.035,0.036,0.036,-9.357,0.682,0.085,7.701,1.62,1.89E-4,1.3E-4,0.042818226,0.035847813,120.853714,0.268,0.0
37.9,0.048,0.054,0.056,0.056,0.056,-4.482,0.489,115.894,-0.158,99.844,-0.26,97.188,-0.326,96.398,-0.283,17.6,0.104,9.272,1.66,33.3,-4.464,0.467,0.186,12.632,46.1,0.021,0.023,0.024,0.024,0.024,-8.699,0.334,0.02,1.965,1.75,3.45E-4,6.4E-5,0.03998759,0.017137539,49.152138,0.486,0.0
43.0,0.038,0.043,0.045,0.045,0.045,-3.876,0.185,104.309,-0.265,114.666,-0.244,117.275,-0.233,119.712,-0.268,27.1,0.042,4.09,1.81,39.1,-4.443,0.268,0.083,6.714,44.7,0.023,0.025,0.027,0.027,0.027,-9.522,0.439,0.059,5.492,1.68,2.42E-4,7.3E-5,0.032132886,0.019279731,61.039654,0.135,0.0
38.9,0.062,0.07,0.074,0.074,0.077,-4.87,0.733,120.254,-0.235,132.858,-0.177,123.491,-0.183,128.146,-0.136,25.2,0.121,10.883,1.65,40.1,-5.001,0.385,0.079,6.465,42.0,0.03,0.032,0.033,0.033,0.034,-10.87,0.34,0.041,3.683,1.67,6.06E-4,1.27E-4,0.059646834,0.026337564,76.89505,0.597,0.0
40.5,0.045,0.051,0.057,0.058,0.059,-5.017,0.3,114.295,-0.283,108.317,-0.331,111.23,-0.322,112.229,-0.316,21.9,0.114,10.247,1.64,36.2,-6.226,0.364,0.067,5.065,44.4,0.023,0.025,0.026,0.027,0.027,-10.683,0.354,0.05,4.731,1.62,3.23E-4,6.6E-5,0.04570342,0.020915125,67.343925,0.381,0.0
41.3,0.036,0.042,0.046,0.046,0.046,-5.339,0.389,115.894,-0.386,121.463,-0.32,127.061,-0.249,126.356,-0.274,24.3,0.064,6.073,1.85,38.0,-6.436,0.456,0.071,5.662,44.2,0.024,0.027,0.029,0.029,0.029,-11.437,0.318,0.029,2.737,1.72,2.15E-4,8.7E-5,0.035633173,0.02246439,75.820946,0.325,0.0
38.7,0.042,0.047,0.05,0.051,0.051,-6.502,0.39,123.91,-0.288,134.667,-0.2,130.631,-0.208,129.107,-0.289,23.2,0.066,5.92,1.7,40.1,-6.594,0.422,0.059,4.922,41.5,0.03,0.032,0.034,0.034,0.034,-12.723,0.399,0.049,4.384,1.54,2.43E-4,1.04E-4,0.050999776,0.033999853,129.10587,0.279,0.0
41.3,0.032,0.04,0.044,0.044,0.044,-6.658,0.215,126.337,-0.263,116.646,-0.33,115.18,-0.32,111.677,-0.37,23.5,0.049,4.608,1.81,38.0,-8.061,0.573,0.096,7.437,42.0,0.03,0.032,0.034,0.034,0.035,-13.316,0.589,0.067,5.987,1.63,1.71E-4,1.19E-4,0.043999806,0.034999847,111.67602,0.189,0.0
40.6,0.043,0.05,0.052,0.053,0.054,-6.919,0.676,103.7,-0.389,100.558,-0.432,112.467,-0.333,119.35,-0.316,20.2,0.076,7.019,1.76,36.2,-9.484,0.485,0.087,6.556,43.9,0.026,0.029,0.03,0.031,0.031,-13.764,0.45,0.056,5.207,1.7,2.91E-4,9.5E-5,0.04203875,0.024133354,72.332664,0.299,0.0
38.7,0.056,0.067,0.069,0.069,0.07,-7.709,0.387,110.287,-0.396,119.169,-0.345,127.917,-0.32,124.852,-0.292,21.1,0.056,5.092,1.66,39.3,-9.461,0.179,0.083,6.733,45.0,0.022,0.025,0.027,0.027,0.027,-13.786,0.425,0.042,4.042,1.64,4.49E-4,6.7E-5,0.054494675,0.021019375,75.667175,0.194,0.0
41.5,0.037,0.043,0.045,0.046,0.046,-7.344,0.255,126.442,-0.351,125.956,-0.361,127.327,-0.378,121.501,-0.382,26.3,0.047,4.463,1.74,40.6,-9.705,0.319,0.048,4.026,42.5,0.028,0.03,0.032,0.032,0.032,-15.068,0.389,0.036,3.25,1.58,2.0E-4,9.7E-5,0.035810787,0.024911853,73.63629,0.196,0.0
39.6,0.043,0.049,0.052,0.053,0.053,-8.032,0.439,118.931,-0.451,121.178,-0.395,106.831,-0.404,108.945,-0.448,22.1,0.088,8.057,1.75,37.6,-11.13,0.488,0.067,5.27,41.8,0.029,0.032,0.033,0.033,0.033,-16.161,0.617,0.043,3.766,1.6,2.86E-4,1.15E-4,0.037624393,0.023426509,54.90281,0.387,0.0
37.2,0.049,0.056,0.059,0.059,0.059,-8.984,0.395,109.269,-0.46,111.629,-0.427,98.321,-0.408,95.808,-0.541,18.2,0.067,5.877,1.77,36.1,-12.046,0.633,0.102,7.56,43.5,0.025,0.028,0.03,0.03,0.03,-17.076,0.468,0.056,5.103,1.65,3.76E-4,8.9E-5,0.04188376,0.021296825,48.28242,0.246,0.0
39.5,0.038,0.045,0.048,0.048,0.049,-9.1,0.238,94.427,-0.475,97.131,-0.506,96.246,-0.411,97.064,-0.461,21.3,0.056,5.145,1.8,37.6,-12.371,0.399,0.103,7.913,43.5,0.025,0.027,0.028,0.029,0.029,-18.224,0.576,0.052,4.739,1.64,2.42E-4,8.8E-5,0.034784816,0.020586932,48.915382,0.219,0.0
38.7,0.04,0.048,0.051,0.051,0.051,-9.478,0.567,96.474,-0.441,100.501,-0.39,92.19,-0.479,90.239,-0.515,21.5,0.052,4.691,1.68,37.4,-13.419,0.492,0.099,7.658,43.4,0.027,0.029,0.03,0.03,0.03,-18.913,0.323,0.048,4.379,1.62,2.3E-4,9.2E-5,0.05075568,0.029856283,89.37648,0.189,0.0
38.6,0.039,0.05,0.053,0.054,0.054,-10.392,0.415,88.868,-0.497,87.288,-0.545,80.481,-0.569,80.767,-0.58,19.0,0.04,3.592,1.69,34.3,-14.874,0.682,0.12,8.571,43.4,0.028,0.03,0.031,0.032,0.032,-19.757,0.572,0.031,2.828,1.65,2.25E-4,9.6E-5,0.05374131,0.031846702,79.99501,0.123,0.0
39.9,0.037,0.044,0.047,0.048,0.048,-11.006,0.203,83.908,-0.614,85.736,-0.587,87.906,-0.624,90.896,-0.725,20.1,0.056,5.149,1.72,35.6,-16.332,0.798,0.081,6.047,43.7,0.024,0.026,0.028,0.029,0.029,-21.428,0.625,0.03,2.775,1.63,2.06E-4,8.1E-5,0.04014383,0.024253562,63.57698,0.222,0.0
37.1,0.051,0.064,0.069,0.07,0.071,-11.722,0.443,92.857,-0.518,91.971,-0.557,89.658,-0.522,88.478,-0.583,19.8,0.094,8.147,1.66,38.0,-17.602,0.373,0.066,5.243,44.7,0.023,0.026,0.028,0.028,0.028,-22.719,0.539,0.055,5.148,1.62,3.94E-4,7.4E-5,0.059379414,0.023417234,61.88571,0.409,0.0
38.3,0.054,0.061,0.067,0.068,0.068,-12.655,0.453,90.781,-0.462,88.725,-0.598,81.643,-0.658,80.053,-0.787,19.2,0.088,7.717,1.59,36.2,-18.938,0.76,0.142,10.463,41.8,0.034,0.038,0.042,0.042,0.043,-24.92,0.456,0.082,7.267,1.6,4.13E-4,1.45E-4,0.056870427,0.035962183,55.99287,0.294,0.0
38.4,0.053,0.06,0.063,0.064,0.064,-14.206,0.42,78.12,-0.786,80.062,-0.647,76.949,-0.587,75.75,-0.615,17.7,0.091,8.056,1.56,35.4,-19.846,0.612,0.141,10.018,44.7,0.024,0.027,0.029,0.029,0.029,-25.496,0.299,0.041,3.826,1.65,3.62E-4,7.8E-5,0.041185424,0.018662143,31.369656,0.345,0.0
38.2,0.05,0.055,0.059,0.06,0.063,-14.758,0.761,74.341,-0.745,75.302,-0.769,83.918,-0.635,90.496,-0.679,18.3,0.137,11.703,1.58,35.0,-21.565,0.728,0.108,7.769,42.6,0.029,0.036,0.04,0.04,0.04,-27.241,0.507,0.051,4.673,1.64,3.64E-4,1.2E-4,0.040541902,0.02574089,37.476284,0.542,0.0
38.3,0.048,0.057,0.062,0.063,0.064,-15.448,0.347,83.775,-0.631,77.892,-0.694,85.45,-0.642,88.678,-0.675,20.1,0.096,8.356,1.63,37.5,-22.412,0.454,0.114,8.676,43.5,0.026,0.03,0.036,0.037,0.037,-29.031,0.807,0.045,4.166,1.56,3.38E-4,8.4E-5,0.06281027,0.036312185,85.411674,0.387,0.0
36.6,0.055,0.064,0.067,0.069,0.069,-16.447,0.65,95.494,-0.626,97.179,-0.595,83.394,-0.579,81.309,-0.848,19.4,0.1,8.516,1.56,36.5,-24.18,1.024,0.178,12.889,39.5,0.04,0.046,0.053,0.053,0.055,-31.341,0.714,0.073,6.221,1.57,4.1E-4,2.07E-4,0.06771732,0.053977575,78.314095,0.371,0.0
37.3,0.056,0.061,0.065,0.066,0.066,-17.041,0.456,76.15,-0.802,76.483,-0.781,81.148,-0.73,80.881,-0.607,18.5,0.103,8.78,1.64,35.6,-25.567,0.484,0.14,10.063,43.3,0.026,0.032,0.04,0.041,0.041,-32.075,0.512,0.045,4.12,1.58,4.34E-4,8.7E-5,0.06477309,0.04023783,77.90186,0.341,0.0
33.9,0.078,0.092,0.099,0.1,0.101,-18.271,0.458,82.195,-0.583,68.686,-0.559,73.875,-0.649,73.084,-0.576,16.9,0.166,13.235,1.58,37.1,-27.067,0.549,0.121,8.963,39.6,0.041,0.045,0.053,0.054,0.055,-34.546,1.221,0.118,9.767,1.57,9.51E-4,2.34E-4,0.0894797,0.04872657,57.36257,0.634,0.0
36.6,0.057,0.064,0.077,0.078,0.079,-18.694,0.629,73.065,-0.827,65.916,-0.907,62.965,-0.546,74.807,-0.826,14.8,0.159,12.967,1.5,32.9,-29.431,0.933,0.164,10.987,42.7,0.03,0.037,0.049,0.05,0.05,-35.945,0.517,0.099,8.707,1.65,4.5E-4,1.21E-4,0.06998908,0.044296883,58.714928,0.473,0.0
35.8,0.063,0.068,0.074,0.076,0.078,-20.169,0.446,64.526,-0.572,71.257,-0.639,72.618,-0.705,68.601,-0.82,18.6,0.2,15.533,1.41,38.4,-30.11,0.516,0.088,6.86,43.7,0.026,0.028,0.029,0.029,0.03,-37.448,0.556,0.075,6.807,1.46,5.18E-4,7.1E-5,0.06910314,0.026578128,53.843925,0.503,0.0
37.8,0.066,0.072,0.076,0.077,0.079,-20.6,0.729,65.631,-0.768,61.794,-0.886,62.203,-0.814,67.468,-0.882,18.0,0.136,11.453,1.51,34.3,-32.166,0.825,0.158,11.183,40.8,0.038,0.042,0.047,0.047,0.048,-39.102,0.397,0.058,5.016,1.65,6.32E-4,2.03E-4,0.046422094,0.028205829,23.29663,0.4,0.0
36.7,0.076,0.083,0.092,0.094,0.097,-22.118,0.399,68.991,-0.808,62.118,-0.625,61.585,-0.895,56.396,-0.859,16.8,0.163,13.478,1.47,35.2,-33.481,0.617,0.158,11.437,43.3,0.03,0.041,0.055,0.059,0.059,-40.918,0.629,0.08,7.465,1.65,8.37E-4,1.28E-4,0.05699928,0.034669664,19.47348,0.57,0.0
37.8,0.047,0.051,0.053,0.054,0.054,-23.172,0.52,64.212,-0.772,65.84,-0.787,68.658,-0.61,64.469,-0.604,18.6,0.11,9.483,1.47,35.8,-35.361,0.736,0.155,11.128,40.0,0.037,0.041,0.042,0.042,0.044,-43.08,0.757,0.132,10.846,1.37,2.56E-4,1.58E-4,0.031731557,0.025855344,22.261078,0.419,0.0
34.5,0.064,0.068,0.073,0.074,0.074,-23.867,0.607,66.126,-0.603,62.965,-0.582,71.752,-0.451,50.999,-0.412,12.4,0.154,11.973,1.48,31.9,-36.685,0.62,0.158,10.284,38.7,0.048,0.053,0.055,0.056,0.056,-44.499,0.272,0.076,6.317,1.61,4.66E-4,3.13E-4,0.070935726,0.05368109,46.8628,0.436,0.0
37.3,0.049,0.054,0.059,0.06,0.06,-23.843,0.292,48.267,-0.396,56.435,-0.121,56.396,-0.17,65.745,-0.181,17.4,0.1,8.559,1.55,34.9,-36.975,0.437,0.13,9.335,40.4,0.036,0.039,0.043,0.043,0.043,-44.964,0.194,0.056,4.855,1.47,3.15E-4,1.57E-4,0.057515454,0.04121941,60.412853,0.406,0.0
34.0,0.092,0.104,0.112,0.116,0.117,-24.047,0.357,61.09,0.13,64.64,0.045,58.234,-0.037,69.981,0.076,15.4,0.234,17.462,1.37,35.4,-36.999,0.38,0.154,11.197,39.5,0.04,0.044,0.051,0.052,0.053,-44.622,0.189,0.107,8.946,1.41,0.001149,1.74E-4,0.10842995,0.049117845,60.104504,0.6,0.0
33.2,0.092,0.098,0.101,0.101,0.101,0.316,0.447,151.517,-0.013,148.48,0.07,158.085,0.041,144.777,0.074,8.7,0.121,9.238,1.46,31.1,-0.55,0.719,0.137,8.923,37.8,0.045,0.047,0.05,0.05,0.05,0.68,0.284,0.069,5.551,1.34,0.001026,1.96E-4,0.09681768,0.047929544,133.03506,0.354,0.0
34.5,0.076,0.082,0.085,0.085,0.085,0.565,0.419,150.593,0.191,152.354,0.142,145.148,-0.034,158.618,0.132,11.6,0.099,7.936,1.37,31.7,0.134,0.651,0.132,8.714,38.6,0.042,0.044,0.045,0.045,0.045,0.912,0.346,0.058,4.79,1.36,5.79E-4,1.86E-4,0.08148023,0.043136593,145.75352,0.342,0.0
33.7,0.076,0.079,0.085,0.086,0.086,0.727,0.556,153.421,0.111,143.844,0.05,152.193,0.016,154.81,0.194,11.2,0.108,8.349,1.41,31.6,0.314,0.688,0.152,10.05,38.3,0.043,0.046,0.048,0.049,0.049,1.306,0.146,0.086,7.001,1.33,6.9E-4,1.76E-4,0.050535444,0.02879345,53.45573,0.306,0.0
31.0,0.108,0.115,0.119,0.121,0.121,0.58,0.821,139.769,-0.056,143.044,-0.279,156.495,0.347,162.474,-0.072,6.5,0.17,11.727,1.37,30.7,0.336,0.65,0.156,9.818,35.9,0.059,0.061,0.064,0.064,0.064,1.247,0.26,0.12,8.974,1.32,0.00123,3.28E-4,0.071102194,0.037607774,56.1021,0.344,0.0
30.2,0.107,0.117,0.12,0.122,0.124,-0.232,0.717,150.765,-0.128,161.151,0.235,150.289,-0.044,158.809,0.009,6.4,0.196,13.311,1.45,29.9,-1.675,0.946,0.141,8.798,34.7,0.064,0.066,0.068,0.068,0.068,1.618,0.199,0.086,6.465,1.31,0.001508,3.71E-4,0.10985626,0.060243763,124.64688,0.457,0.0
29.5,0.117,0.131,0.136,0.136,0.139,-0.298,0.692,164.663,-0.299,164.72,0.012,156.581,0.217,159.342,-0.042,7.0,0.202,13.63,1.42,30.3,-1.104,0.894,0.166,10.293,38.5,0.042,0.044,0.045,0.045,0.045,2.274,0.222,0.062,5.091,1.4,0.00177,1.78E-4,0.12314533,0.039867196,125.065216,0.512,0.0
30.6,0.115,0.124,0.129,0.13,0.13,-0.094,0.717,167.986,-0.056,145.843,0.027,152.84,-0.063,150.622,-0.003,5.9,0.173,11.989,1.43,29.1,-1.559,1.065,0.199,11.752,36.3,0.055,0.057,0.058,0.058,0.059,1.922,0.377,0.089,6.973,1.37,0.001515,2.99E-4,0.11517189,0.05227032,118.221016,0.363,0.0
32.3,0.098,0.104,0.107,0.107,0.107,0.03,0.503,147.204,-0.144,152.63,0.068,160.256,-0.142,147.614,-0.04,7.3,0.128,9.552,1.31,29.9,-2.113,1.109,0.169,10.307,35.6,0.06,0.062,0.064,0.064,0.064,1.692,0.346,0.061,4.642,1.36,9.34E-4,3.53E-4,0.094795324,0.05670001,115.860085,0.343,0.0
34.2,0.081,0.087,0.09,0.09,0.091,-0.425,0.509,154.325,0.046,152.24,-0.046,160.484,0.402,149.194,-0.528,7.8,0.095,7.52,1.39,28.6,-1.91,0.952,0.291,16.081,35.3,0.063,0.065,0.066,0.066,0.066,1.512,0.43,0.088,6.769,1.39,7.84E-4,4.02E-4,0.089308344,0.06477309,143.69865,0.274,0.0
34.3,0.085,0.092,0.093,0.094,0.094,-0.352,0.47,148.623,0.022,145.51,-0.094,149.051,-0.08,146.833,-0.042,9.7,0.096,7.577,1.53,30.5,-1.803,0.782,0.17,10.638,38.0,0.043,0.045,0.047,0.047,0.047,1.691,0.404,0.057,4.613,1.44,9.58E-4,2.12E-4,0.092252575,0.046126287,141.4246,0.269,0.0
33.1,0.093,0.101,0.103,0.105,0.105,-0.289,0.511,149.432,-0.066,157.152,0.016,154.553,-0.227,158.523,0.001,9.5,0.105,8.053,1.47,31.3,-2.088,0.79,0.128,8.293,37.5,0.048,0.05,0.051,0.051,0.051,1.361,0.205,0.067,5.429,1.4,0.001034,2.23E-4,0.10304809,0.05005193,152.68402,0.317,0.0
33.0,0.094,0.098,0.102,0.102,0.102,-0.483,0.511,151.203,0.043,151.707,-0.02,152.164,-0.123,156.096,0.009,7.9,0.093,7.109,1.54,30.4,-2.358,0.903,0.154,9.664,35.7,0.057,0.059,0.06,0.06,0.061,1.228,0.382,0.092,6.978,1.34,0.001125,3.05E-4,0.10010386,0.059866037,150.34642,0.261,0.0
34.0,0.1,0.108,0.111,0.111,0.111,-2.518,0.814,147.985,-0.175,150.308,-0.17,138.703,-0.166,139.132,-0.207,13.9,0.13,10.113,1.52,33.9,-1.926,0.38,0.11,7.736,39.1,0.045,0.047,0.048,0.049,0.049,-4.311,0.399,0.066,5.392,1.69,0.001268,2.84E-4,0.092457004,0.04081435,96.52965,0.336,0.0
36.7,0.064,0.07,0.073,0.074,0.074,-2.752,0.29,148.823,-0.039,141.54,-0.147,141.464,-0.147,138.57,-0.145,15.2,0.069,5.8,1.62,34.0,-3.053,0.566,0.117,8.213,39.5,0.042,0.044,0.046,0.046,0.046,-5.45,0.171,0.057,4.853,1.7,5.25E-4,2.35E-4,0.061638005,0.038315516,96.13973,0.209,0.0
35.7,0.065,0.074,0.077,0.077,0.077,-2.583,0.393,134.924,-0.066,131.402,-0.163,131.849,-0.188,132.668,-0.068,13.7,0.069,5.717,1.82,31.9,-3.084,0.58,0.118,7.941,40.1,0.039,0.043,0.045,0.045,0.045,-6.227,0.539,0.058,4.924,1.73,6.86E-4,2.25E-4,0.06413684,0.03748257,92.04493,0.212,0.0
36.0,0.062,0.068,0.07,0.071,0.071,-3.012,0.366,138.77,-0.292,144.767,-0.255,134.429,-0.039,133.953,-0.261,14.8,0.093,7.629,1.74,33.3,-3.405,0.464,0.106,7.414,39.4,0.038,0.041,0.042,0.042,0.042,-6.592,0.296,0.053,4.539,1.63,5.94E-4,1.95E-4,0.045975614,0.027196841,56.168243,0.316,0.0
34.2,0.08,0.086,0.088,0.089,0.09,-3.208,0.783,128.917,-0.085,136.742,-0.243,140.664,-0.085,141.759,-0.183,12.4,0.128,10.033,1.52,32.1,-3.642,0.676,0.158,10.444,41.6,0.034,0.036,0.038,0.038,0.038,-6.264,0.262,0.04,3.534,1.7,8.08E-4,1.46E-4,0.05827895,0.024606666,59.441402,0.436,0.0
36.5,0.061,0.066,0.069,0.069,0.07,-3.416,0.396,141.359,-0.037,133.696,-0.181,128.67,-0.181,130.24,-0.168,15.8,0.073,6.178,1.79,34.2,-4.067,0.581,0.091,6.512,41.2,0.035,0.037,0.039,0.039,0.039,-6.738,0.174,0.032,2.77,1.65,6.25E-4,1.51E-4,0.04532807,0.02525421,54.611336,0.24,0.0
38.7,0.05,0.055,0.06,0.061,0.061,-3.455,0.402,133.001,-0.194,134.905,-0.061,133.353,-0.216,128.098,-0.28,16.4,0.066,5.954,1.59,31.8,-4.177,0.834,0.209,13.38,41.6,0.037,0.042,0.044,0.044,0.044,-6.786,0.336,0.042,3.715,1.8,3.1E-4,2.05E-4,0.039500177,0.02849193,53.713165,0.267,0.0
37.8,0.052,0.059,0.062,0.063,0.063,-3.782,0.28,120.625,-0.171,117.598,-0.095,114.485,-0.112,119.54,-0.164,14.4,0.075,6.616,1.84,30.3,-4.918,1.004,0.276,16.297,42.4,0.032,0.036,0.038,0.038,0.038,-7.172,0.231,0.054,4.855,1.81,4.34E-4,1.7E-4,0.061899852,0.037336417,115.401474,0.334,0.0
36.8,0.053,0.059,0.061,0.061,0.062,-4.681,0.329,123.834,-0.106,128.203,-0.186,128.022,-0.188,133.039,-0.137,15.0,0.058,4.904,1.77,33.1,-5.978,0.591,0.109,7.661,43.3,0.032,0.034,0.035,0.035,0.035,-7.502,0.281,0.034,3.15,1.76,4.1E-4,1.31E-4,0.06091731,0.034388807,128.43314,0.182,0.0
38.1,0.048,0.053,0.055,0.055,0.055,-4.177,0.362,120.121,-0.135,122.796,-0.074,123.529,-0.176,120.178,-0.102,17.3,0.05,4.412,1.8,34.1,-5.439,0.409,0.1,7.12,42.0,0.032,0.036,0.037,0.038,0.038,-8.349,0.205,0.028,2.557,1.73,3.33E-4,1.53E-4,0.054039553,0.037336417,116.01739,0.174,0.0
39.4,0.041,0.046,0.048,0.048,0.048,-4.815,0.323,129.964,-0.156,141.388,-0.198,151.85,-0.191,150.108,-0.291,20.9,0.05,4.531,1.82,37.0,-5.809,0.35,0.08,6.162,42.2,0.036,0.039,0.041,0.041,0.041,-8.614,0.247,0.028,2.518,1.83,2.62E-4,1.85E-4,0.04716179,0.04028403,144.9112,0.163,0.0
38.7,0.042,0.049,0.05,0.05,0.05,-4.741,0.353,143.977,-0.227,131.183,-0.255,115.828,-0.186,118.179,-0.264,19.6,0.044,3.874,1.81,34.5,-6.131,0.562,0.118,8.536,42.0,0.03,0.034,0.035,0.035,0.035,-9.604,0.221,0.039,3.543,1.68,2.84E-4,1.32E-4,0.04415455,0.030908184,92.16186,0.138,0.0
41.1,0.033,0.039,0.04,0.041,0.041,-5.16,0.275,113.448,-0.232,126.985,-0.26,133.106,-0.304,136.504,-0.353,22.2,0.043,3.979,1.82,37.1,-7.113,0.442,0.101,7.755,42.7,0.03,0.033,0.034,0.034,0.034,-10.003,0.575,0.038,3.483,1.78,1.78E-4,1.32E-4,0.036206733,0.030025095,106.4526,0.175,0.0
40.5,0.035,0.04,0.042,0.042,0.042,-5.696,0.276,137.818,-0.376,131.802,-0.241,125.433,-0.176,128.555,-0.135,22.4,0.033,3.113,1.84,36.4,-7.203,0.44,0.069,5.311,42.4,0.03,0.032,0.034,0.034,0.034,-11.034,0.195,0.033,2.951,1.7,2.17E-4,1.22E-4,0.03708982,0.030025095,100.25357,0.107,0.0
