@RELATION novembro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
11.0,51.4,0.018,0.02,0.023,0.023,0.023,-36.417,0.052,75.029,-0.004,74.163,-0.0,75.505,0.01,77.98,0.017,42.9,0.008,0.89,1.99,46.6,-54.493,0.113,0.018,1.765,52.3,0.014,0.016,0.018,0.018,0.018,-64.356,0.066,0.007,0.762,1.85,4.1E-5,2.6E-5,0.01670963,0.0130771,41.158657,0.036,0.0
11.0,51.6,0.018,0.02,0.022,0.022,0.022,-36.289,0.107,78.561,0.02,77.057,0.029,77.143,0.032,80.084,0.044,43.1,0.009,1.049,1.98,46.7,-54.401,0.103,0.014,1.332,52.3,0.014,0.016,0.017,0.017,0.017,-64.404,0.062,0.007,0.78,1.86,4.3E-5,2.8E-5,0.015983123,0.012350596,42.269165,0.042,0.0
11.0,51.7,0.017,0.019,0.02,0.021,0.021,-36.254,0.088,77.609,0.042,77.228,0.045,77.771,0.049,78.932,0.05,43.3,0.009,1.014,1.96,46.8,-54.31,0.156,0.014,1.408,52.0,0.014,0.015,0.016,0.016,0.016,-64.327,0.068,0.006,0.716,1.77,3.8E-5,2.4E-5,0.020942273,0.015956018,78.498634,0.045,0.0
11.0,51.5,0.018,0.021,0.024,0.024,0.024,-36.163,0.095,78.257,0.058,75.61,0.051,76.867,0.055,76.191,0.059,43.2,0.012,1.426,2.05,46.7,-54.085,0.128,0.018,1.749,52.3,0.015,0.017,0.019,0.019,0.019,-64.132,0.023,0.006,0.631,1.89,4.8E-5,3.2E-5,0.023934025,0.018947769,75.77269,0.061,0.0
11.0,51.3,0.017,0.02,0.021,0.021,0.021,-36.082,0.072,77.819,0.051,77.352,0.043,80.341,0.056,79.209,0.055,43.0,0.012,1.41,2.07,46.7,-53.992,0.156,0.018,1.758,52.3,0.013,0.015,0.016,0.016,0.016,-64.098,0.044,0.006,0.72,1.86,4.9E-5,2.7E-5,0.020942273,0.015956018,78.77412,0.063,0.0
11.0,51.4,0.017,0.021,0.026,0.026,0.026,-35.955,0.087,77.048,0.06,77.009,0.069,75.134,0.069,76.124,0.061,42.9,0.014,1.595,1.97,46.3,-53.847,0.165,0.022,2.178,52.4,0.015,0.017,0.021,0.021,0.021,-63.876,0.084,0.006,0.705,1.88,4.4E-5,3.1E-5,0.025928527,0.020942273,75.706055,0.067,0.0
11.0,51.3,0.018,0.022,0.025,0.025,0.025,-35.987,0.099,77.543,0.064,77.0,0.052,77.904,0.043,78.514,0.035,43.0,0.014,1.65,2.05,46.7,-53.837,0.113,0.018,1.795,52.5,0.015,0.017,0.02,0.02,0.02,-63.643,0.045,0.007,0.726,1.92,5.4E-5,3.1E-5,0.024931276,0.01994502,78.08293,0.063,0.0
11.0,51.3,0.018,0.022,0.023,0.024,0.024,-35.97,0.087,79.961,0.025,79.999,0.03,77.79,0.022,79.399,0.023,42.9,0.016,1.794,2.02,46.5,-53.579,0.132,0.019,1.884,52.4,0.013,0.016,0.017,0.017,0.017,-63.646,0.036,0.006,0.692,1.82,4.9E-5,2.3E-5,0.023934025,0.016953269,78.96307,0.088,0.0
11.0,51.4,0.017,0.019,0.022,0.022,0.022,-35.956,0.132,78.133,0.025,78.485,0.027,80.694,0.032,80.608,0.044,42.9,0.014,1.612,1.99,46.7,-53.699,0.149,0.016,1.544,52.5,0.015,0.017,0.018,0.018,0.018,-63.571,0.056,0.006,0.706,1.85,4.6E-5,2.7E-5,0.021939524,0.017950518,80.165436,0.056,0.0
11.0,51.4,0.019,0.022,0.025,0.025,0.026,-35.843,0.116,76.676,0.054,78.599,0.05,77.59,0.056,76.438,0.042,43.0,0.012,1.339,2.06,46.4,-53.608,0.151,0.02,1.91,52.4,0.014,0.016,0.019,0.019,0.019,-63.436,0.048,0.007,0.788,1.87,5.3E-5,2.8E-5,0.025928527,0.018947769,76.01833,0.061,0.0
