@RELATION jan-norm_17_05_17_00_52
@ATTRIBUTE Id NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.0,-2.3808308,2.4356744,1.4925034,1.0973198,1.0425599,1.0359137,1.6967975,2.086753,3.1169007,-1.1873746,2.8494291,-0.033551954,2.643529,-0.06199129,2.8301265,-0.047440622,-2.2916112,1.7701044,1.6801223,-1.9109275,NaN,NaN,NaN,NaN,NaN,-2.5381217,NaN,NaN,NaN,NaN,NaN,1.7526608,0.9302086,0.39791054,0.38163954,NaN,1.6241434,NaN,1.0331585,NaN,1.7933307,1.469906,0.0
1.0,-1.9829535,1.543864,0.9511337,0.67085874,0.632342,0.6148985,1.7056267,1.2349987,2.7952547,-0.43694437,2.7596579,-0.034824785,2.5676086,-0.09604313,2.6277575,-0.027761541,-2.1859329,0.90951765,0.89700663,-1.4143006,NaN,NaN,NaN,NaN,NaN,-2.4599297,NaN,NaN,NaN,NaN,NaN,1.7065101,0.14024532,0.71397036,0.7441119,NaN,0.8457304,NaN,0.61500585,NaN,1.6616755,0.8220526,0.0
1.0,-2.2342443,1.3315281,0.74489766,0.51578194,0.48317185,0.48676345,1.6998354,1.3609103,2.4574559,-0.72339886,2.2954643,-0.033933803,2.4323015,-0.05001702,2.6636677,-0.047830306,-2.39729,0.9334227,0.845572,-1.0832157,NaN,NaN,NaN,NaN,NaN,-2.3556733,NaN,NaN,NaN,NaN,NaN,1.6610569,0.5090692,0.43302828,0.45123973,NaN,0.63789225,NaN,0.48774207,NaN,1.6850375,0.68774164,0.0
1.0,-2.7368252,2.2233386,1.4667238,1.0585505,1.0239135,1.0725236,1.6479998,3.4495595,2.5513737,-0.9049546,2.7427623,-0.037115883,2.596577,-0.036171768,2.4043493,-0.045687042,-2.5029685,2.9175532,2.601785,-0.9728544,NaN,NaN,NaN,NaN,NaN,-2.1471612,NaN,NaN,NaN,NaN,NaN,1.6599299,0.090545624,0.31011617,0.33386114,NaN,2.106485,NaN,0.6527058,NaN,0.05721927,3.4292665,0.0
1.0,-2.4227118,1.543864,1.0800312,0.88408923,0.8560972,0.8894736,1.5841069,3.19033,2.5974467,-0.6628803,2.8953297,-0.02349658,2.849934,-0.033926588,2.7399871,-0.027956385,-2.4912264,1.9135354,1.7654504,-0.365866,NaN,NaN,NaN,NaN,NaN,-1.7822653,NaN,NaN,NaN,NaN,NaN,1.6661549,-0.03501144,0.046733014,0.05591972,NaN,1.2986609,NaN,0.5113677,NaN,0.18918769,1.5094092,0.0
1.0,-1.9829535,0.77945495,0.43554345,0.34132057,0.31535545,0.30371332,1.6195186,0.96836275,2.4464347,-0.6063963,2.5028884,-0.040552527,2.2797358,-0.0705978,2.5075836,-0.046271566,-2.0685122,0.7182762,0.6891867,-0.69695085,NaN,NaN,NaN,NaN,NaN,-2.0689692,NaN,NaN,NaN,NaN,NaN,1.6210773,0.012072444,0.1345274,0.14205858,NaN,0.3829963,NaN,0.059085622,NaN,0.097809635,0.6719403,0.0
1.0,-1.6269581,0.94932365,0.5902206,0.43824354,0.40858677,0.4135434,1.5833474,0.894297,2.6524816,-0.89688545,2.640265,-0.031769987,2.367766,-0.07957851,2.0839102,-0.031073863,-2.1272225,0.4792243,0.47423115,-0.2555046,NaN,NaN,NaN,NaN,NaN,-1.8604573,NaN,NaN,NaN,NaN,NaN,1.6240824,0.39397523,0.11696856,0.13562691,NaN,0.347703,NaN,0.14388847,NaN,-0.06877323,0.45072222,0.0
1.0,-1.962013,1.2041267,0.7964566,0.61270493,0.5950494,0.5782884,1.5456574,1.0868677,1.9913393,-0.33608013,2.2150111,-0.038516,2.3373833,-0.08593984,2.3429022,-0.039257243,-2.1859329,1.1724746,1.1729108,-0.3106853,NaN,NaN,NaN,NaN,NaN,-1.4434321,NaN,NaN,NaN,NaN,NaN,1.6117399,0.31811786,0.11696856,0.15354382,NaN,0.6771071,NaN,0.82679236,NaN,2.9043772,1.1933832,0.0
1.0,-1.6897808,0.7369878,0.46132302,0.36070514,0.352648,0.34032336,1.4800557,1.1313069,2.4980366,-0.4571172,2.7734716,-0.032660972,2.503037,-0.020081334,2.4375033,-0.04003661,-1.99806,0.6943709,0.69691676,0.13076028,NaN,NaN,NaN,NaN,NaN,-1.6519452,NaN,NaN,NaN,NaN,NaN,1.5430503,0.43059602,0.16964516,0.20476767,NaN,0.3869178,NaN,0.547999,NaN,2.9900131,0.68774164,0.0
1.0,-1.5222538,0.6520534,0.35820496,0.24439766,0.22212414,0.21218833,1.4786316,1.8645561,2.3865936,-0.64270747,2.3648233,-0.037243165,2.4419453,-0.049268626,2.7872877,-0.044517986,-1.7162502,0.5748451,0.6044531,0.020398881,NaN,NaN,NaN,NaN,NaN,-1.7301371,NaN,NaN,NaN,NaN,NaN,1.5161647,0.28411278,0.15208624,0.1776627,NaN,0.32417417,NaN,0.39787945,NaN,3.3066483,0.81415206,0.0
1.0,-1.3337862,0.3547833,0.15196882,0.06993622,0.05430768,0.047443207,1.426701,0.31658554,2.9376662,-0.7677792,3.1873047,-0.032915536,3.018017,-0.06723004,2.6678028,-0.03828303,-1.481409,0.120646484,0.11062045,-0.2555046,NaN,NaN,NaN,NaN,NaN,-1.6780088,NaN,NaN,NaN,NaN,NaN,1.4994754,-0.123947725,0.1345274,0.15882699,NaN,0.09084634,NaN,0.20486845,NaN,3.1984873,0.09519302,0.0
1.0,-1.3547268,0.3547833,0.1777484,0.06993622,0.07295399,0.06574825,1.4671443,0.42027745,1.9411104,-0.49342835,1.93511,-0.0362249,1.6860805,-0.032055605,1.6726428,-0.03419134,-1.5988296,0.62265545,0.70643073,-0.80731225,NaN,NaN,NaN,NaN,NaN,-1.4434321,NaN,NaN,NaN,NaN,NaN,1.480693,0.04084596,0.16964516,0.21441524,NaN,0.065356754,NaN,0.12212562,NaN,1.4386935,1.288191,0.0
1.0,-1.061554,0.48218474,0.28086635,0.18624382,0.1661853,0.15727326,1.4120806,0.16104783,2.2527828,-0.816194,2.4714904,-0.041316226,2.6455953,-0.07920431,2.5431678,-0.050168414,-1.2465677,0.40750876,0.47036612,-0.4762274,NaN,NaN,NaN,NaN,NaN,-1.4694967,NaN,NaN,NaN,NaN,NaN,1.4305711,1.1473178,0.22232176,0.2757461,NaN,0.20456915,NaN,0.21850084,NaN,2.0752738,0.44282156,0.0
1.0,-1.1871998,0.43971765,0.2550869,0.14747462,0.12889276,0.12066325,1.3733462,0.7239464,2.2799568,-0.4772901,2.1484075,-0.031642705,2.22557,-0.04777184,2.4796164,-0.032048073,-1.3405044,0.24017248,0.27533042,-0.7521316,NaN,NaN,NaN,NaN,NaN,-1.3391767,NaN,NaN,NaN,NaN,NaN,1.4042759,-0.037627216,0.20476292,0.25714016,NaN,0.09084634,NaN,0.17995071,NaN,2.028801,0.22950408,0.0
