@RELATION observations-time_17_05_17_00_42
@ATTRIBUTE Attribute 0 NUMERIC
@ATTRIBUTE Attribute 1 NUMERIC
@ATTRIBUTE Attribute 2 NUMERIC
@ATTRIBUTE Attribute 3 NUMERIC
@ATTRIBUTE Attribute 4 NUMERIC
@ATTRIBUTE Attribute 5 NUMERIC
@ATTRIBUTE Attribute 6 NUMERIC
@ATTRIBUTE Attribute 7 NUMERIC
@ATTRIBUTE Attribute 8 NUMERIC
@ATTRIBUTE Attribute 9 NUMERIC
@ATTRIBUTE Attribute 10 NUMERIC
@ATTRIBUTE Attribute 11 NUMERIC
@ATTRIBUTE Attribute 12 NUMERIC
@ATTRIBUTE Attribute 13 NUMERIC
@ATTRIBUTE Attribute 14 NUMERIC
@ATTRIBUTE Attribute 15 NUMERIC
@ATTRIBUTE Attribute 16 NUMERIC
@ATTRIBUTE Attribute 17 NUMERIC
@ATTRIBUTE Attribute 18 NUMERIC
@ATTRIBUTE Attribute 19 NUMERIC
@ATTRIBUTE Attribute 20 NUMERIC
@ATTRIBUTE Attribute 21 NUMERIC
@ATTRIBUTE Attribute 22 NUMERIC
@ATTRIBUTE Attribute 23 NUMERIC
@ATTRIBUTE Attribute 24 NUMERIC
@ATTRIBUTE Attribute 25 NUMERIC
@ATTRIBUTE Attribute 26 NUMERIC
@ATTRIBUTE Attribute 27 NUMERIC
@ATTRIBUTE Attribute 28 NUMERIC
@ATTRIBUTE Attribute 29 NUMERIC
@ATTRIBUTE Attribute 30 NUMERIC
@ATTRIBUTE Attribute 31 NUMERIC
@ATTRIBUTE Attribute 32 NUMERIC
@ATTRIBUTE Attribute 33 NUMERIC
@ATTRIBUTE Attribute 34 NUMERIC
@ATTRIBUTE Attribute 35 NUMERIC
@ATTRIBUTE Attribute 36 NUMERIC
@ATTRIBUTE Attribute 37 NUMERIC
@ATTRIBUTE Attribute 38 NUMERIC
@ATTRIBUTE Attribute 39 NUMERIC
@ATTRIBUTE Attribute 40 NUMERIC
@ATTRIBUTE Attribute 41 NUMERIC
@ATTRIBUTE Attribute 42 NUMERIC
@ATTRIBUTE Attribute 43 NUMERIC
@ATTRIBUTE Attribute 44 NUMERIC
@ATTRIBUTE Attribute 45 NUMERIC
@ATTRIBUTE Attribute 46 NUMERIC
@ATTRIBUTE Attribute 47 NUMERIC
@ATTRIBUTE Attribute 48 NUMERIC
@ATTRIBUTE Attribute 49 NUMERIC
@ATTRIBUTE Attribute 50 NUMERIC
@ATTRIBUTE Attribute 51 NUMERIC
@ATTRIBUTE Attribute 52 NUMERIC
@ATTRIBUTE Attribute 53 NUMERIC
@ATTRIBUTE Attribute 54 NUMERIC
@ATTRIBUTE Attribute 55 NUMERIC
@ATTRIBUTE Attribute 56 NUMERIC
@ATTRIBUTE Attribute 57 NUMERIC
@ATTRIBUTE Attribute 58 NUMERIC
@ATTRIBUTE class        {1.0,2.0,3.0}
@DATA
11.0,-0.22963461,-0.26895958,-0.25613275,-0.0754681,-0.38195568,-0.0883623,-0.100896314,-0.14471368,-0.64016414,-0.6009119,-0.53942144,-0.5601584,-0.52152383,-0.543316,-0.57414544,-0.5005671,-0.51908284,-0.5462293,-0.50600445,-0.5198445,-0.5431716,-0.49860215,-0.51147974,-0.53625655,1.0583175,-0.08669581,0.05545187,-0.273322,-0.10709872,0.26584312,0.2789238,0.26598355,0.21105571,-0.16217516,1.0234401,0.98976403,1.0722647,1.0273112,-0.09735124,-1.6158766,-0.65190023,-0.6512705,-0.6534006,-0.647542,-0.57840693,0.1846396,-0.0016316741,0.17957525,-0.60413903,-0.61133397,-0.6346506,-0.6032869,-0.48428866,-0.44983548,-0.778239,-0.59711564,-0.6190079,-0.58653456,3.0
12.0,-0.12515086,-0.19884908,-0.07380539,-0.059917055,-0.38195568,-0.06831116,-0.096333995,-0.12103219,-0.53981245,-0.5416899,-0.51499486,-0.5420251,-0.5194485,-0.53794724,-0.5686552,-0.50517917,-0.5210685,-0.5462293,-0.50724787,-0.51824266,-0.5431716,-0.49860215,-0.5078091,-0.5431204,1.0861133,-0.6180194,0.085880846,-0.21593516,-0.07259428,-0.16853733,-0.29633936,-0.2777467,-0.2630674,-0.16217516,1.2774991,1.2436081,1.3286417,1.2823141,-0.08581852,-1.6158766,-0.34385872,-0.36712715,-0.4673063,-0.6129338,-0.5738493,-0.24401607,-0.23656683,-0.007274297,-0.6282573,-0.60555875,-0.6630939,-0.52604187,-0.44091055,-0.44983548,-0.6673174,-0.3587696,-0.3937624,-0.46038076,3.0
13.0,0.018370755,-0.102187835,-0.027736925,-0.03901644,0.6238308,-0.051371414,-0.090850845,-0.08905206,2.2700336,2.229902,1.7741295,1.7518328,2.458519,2.4390097,2.3494194,1.9407597,1.9212635,1.8743972,2.275424,2.251295,2.2312138,1.9785603,1.9507744,1.9326165,-2.1659977,-1.108472,0.47900027,0.22265153,0.39458779,-0.622662,-0.34636247,-0.5001812,-0.60788417,-0.16217516,1.5315582,1.4974523,1.5850188,1.537317,-0.074285805,-1.6158766,0.41206118,0.21393892,-0.17064889,2.0288262,1.6365991,1.213413,1.2091892,1.521493,-0.14812689,-0.12068082,-0.20783699,-0.27054814,1.4026598,1.275086,-0.05052803,0.26093,0.08890638,-0.2501244,2.0
14.0,0.12515087,-0.042863555,-0.021897255,-0.024211837,0.6517693,-0.030456014,-0.08875804,-0.085206345,2.388631,2.2417467,1.7811086,1.7880992,2.2032645,2.2349982,2.1490245,2.0714352,2.1059277,2.0571249,2.1871448,2.208046,2.1729982,2.3726575,2.3916163,2.3572192,-2.1289368,-1.5171824,0.82380617,0.6011128,0.72041494,-1.2939774,-1.2217633,-0.9697666,-1.4591503,-0.16217516,1.6670563,1.6328357,1.7217532,1.6818187,-0.067750596,-1.6158766,1.3320657,0.7218857,0.72979563,2.0980425,1.6958482,0.04746951,0.8116062,0.84204084,0.30851924,0.29899165,0.33054918,0.32032755,1.6846178,1.2016852,0.198899,1.3891014,0.8611766,0.813172,2.0
15.0,0.1446698,0.058361072,-0.03876738,-0.040260524,-0.32607865,-0.0335674,-0.090641566,-0.09694589,-0.111037225,0.5243071,-0.36843503,-0.120426685,-0.43851426,-0.2856173,-0.47806588,-0.45137155,-0.33839002,-0.48668885,-0.46497312,-0.37087572,-0.4949359,-0.45065984,-0.407234,-0.5108986,-0.1276375,-1.3128272,1.2404042,1.1060928,1.4289126,-1.9060584,-2.0221298,-1.9583666,-2.1056817,0.39253324,-1.4851111,-1.5169461,-1.4543316,-1.4769591,0.34089205,-1.6158766,0.54236376,1.0762591,0.24982421,-0.22070743,-0.40977484,-1.1527662,-0.94137293,-1.0774114,2.4530442,2.5370994,2.5085962,2.5968206,-0.3541543,0.21077274,2.808509,0.57872474,1.2730539,0.4106813,3.0
16.0,0.04707509,-0.03000304,0.2979867,-0.037274722,-0.2981401,-0.040308725,-0.09080899,-0.08257507,-0.32086343,-0.04422463,-0.43124637,-0.27909276,-0.4156866,-0.3285671,-0.2447297,-0.42369914,-0.36817455,-0.2670052,-0.44259238,-0.39810655,-0.31197283,-0.41827023,-0.43678254,-0.270284,-0.15543334,-0.90411675,1.1556437,0.94999814,1.2898722,-0.6424063,-0.49643078,-0.7473312,-0.72641474,0.39253324,-1.231052,-1.263102,-1.1979545,-1.2219563,0.35242477,-1.6158766,0.27398983,1.9769171,1.5242182,-0.3014599,-0.24570033,-0.46691722,-0.3269267,0.009711989,2.8372688,2.6690884,2.7549949,2.6761494,-0.4192215,-0.19293225,2.9989522,0.109977566,1.6784958,1.0714868,3.0
17.0,-0.13031764,6.024807,0.0021102638,0.10479969,2.5236495,0.08155374,-0.07377355,-0.047558837,-0.3299863,0.32295212,-0.28119707,0.19237207,-0.28909707,0.22709574,0.59253526,-0.3329949,0.09249297,0.41463006,-0.3543128,0.00394893,0.24024297,-0.35406178,0.024431335,0.26604623,-0.21102498,-0.41366416,-0.08711538,1.3059428,-0.12836121,-0.14879231,0.0037982347,-0.4013217,-0.19841443,0.39253324,-0.97699285,-1.009258,-1.052674,-0.96695334,0.3639575,-1.6158766,1.236487,2.9103568,3.0581992,0.6444978,0.5792299,0.081761934,0.37787938,0.84204084,0.8128347,0.9894248,0.88181055,0.7987252,-0.37584335,0.6878788,0.6600062,0.8250156,2.6567047,2.8316329,2.0
18.0,-0.20839341,-0.20590161,-0.15426303,0.019082293,-0.2981401,0.0011763715,-0.07469438,-0.025496587,-0.53068954,-0.15082428,-0.38588265,0.056372654,-0.42813808,-0.10844944,-0.016883837,-0.4436848,-0.1934386,-0.12739313,-0.45999962,-0.2395269,-0.18223535,-0.434251,-0.2382018,-0.20622182,-0.25735134,0.076788366,-0.36513004,1.4596033,-0.40471938,0.26584312,0.35395798,0.2906991,0.36191276,0.39253324,-0.72293377,-0.75541395,-1.2025123,-0.71195036,0.37549022,-1.6158766,0.4055872,1.2311655,1.654892,0.010013996,0.14169787,-0.34689373,-0.29078263,-0.16015087,0.7038855,0.6336484,0.72639054,0.7356603,-0.50597775,-0.37643456,0.7136556,0.13381216,0.72602916,1.1555893,2.0
19.0,-0.24111634,-0.29011717,-0.23601836,-0.06725715,-0.4098942,-0.07868244,-0.0983431,-0.13864152,-0.66753274,-0.76673365,-0.5917643,-0.62362474,-0.5734048,-0.5916345,-0.6098321,-0.5512999,-0.56475246,-0.5852385,-0.5470359,-0.5566862,-0.57643765,-0.5324186,-0.5437812,-0.5650464,-0.2388208,0.648983,-0.82334554,0.9579094,-0.8984392,0.8779242,0.82917595,0.98271894,1.0084441,0.39253324,-0.46887472,-0.50156987,-0.94613516,-0.45694745,0.38702294,-1.6158766,-0.52948403,-0.5849297,-0.41670492,-0.68215024,-0.6194256,-0.1411388,-0.29078263,-0.34700042,0.19326517,0.16411498,0.08855126,0.15691236,-0.50597775,-0.5232364,0.15659659,-0.5415016,-0.5997011,-0.45437342,3.0
20.0,-0.28704327,-0.31459364,-0.31323174,-0.072979935,-0.43783268,-0.08369522,-0.09645957,-0.13560542,-0.69490135,-0.80226684,-0.6057223,-0.6462914,-0.583781,-0.61042506,-0.6317932,-0.5589868,-0.5806376,-0.60166353,-0.5532527,-0.56950074,-0.58974403,-0.5385541,-0.55405897,-0.57438874,-0.09057642,1.1803066,-1.1467918,0.55498415,-1.2753501,1.0556256,1.1293135,1.106294,1.1054239,0.39253324,-0.21481565,-0.24772581,-0.68975806,-0.20194453,0.39855567,-1.6158766,-0.68168026,-0.5519259,-0.3974282,-0.71675843,-0.651329,-0.20972365,-0.36307058,-0.4828907,-0.25864395,-0.30672812,-0.26038817,-0.25664777,-0.5276668,-0.5232364,-0.15646827,-0.63684,-0.59326553,-0.45437342,3.0
